begintime,managedelement,eutrancellfdd,CSFB Preparation Success Rate,Inter- Frequency HO Out Success Rate,Intra- Frequency HO Out Success Rate,Downlink Traffic Volume,Uplink Traffic Volume,EUtran Cell Availability,ERAB_Drop_%,ERAB_Drop_Enb%,ERAB_Drop_MME%,S1 Signalling Establishment Success Rate,E-RAB Establishment Success Rate,Cell Downlink Average Throughput (mbit/s),Cell Uplink Average Throughput (mbit/s),RACH Success Rate,InterRat HO Out Success Rate (LTE to WCDMA),RAN Data Retainability,MCS,CQI,DL Data PDCP Packet Loss Rate,UL Data PDCP Packet Loss Rate,LATENCY,Data Calls to GSM/WCDMA Rate,VOLTE Retainability,VOLTE DL Data PDCP Packet Loss Rate,VOLTE UL Data PDCP Packet Loss Rate,VOLTE QCI1 E-RAB Establishment Success Rate,SRVCC SR-2G,SRVCC SR-3G,VOLTE Drop Rate,VOLTE Drop,Volte E-RAB Att,VOLTE Avg Users,Volte ERAB Att,EARLANG Traffic,VOLTE QCI5 E-RAB Establishment Success Rate,RE-EST SR (All QCI),RE-EST SR (QCI-1),RE-EST ATT (QCI-1),RE-EST ATT (All QCI),INTRA FREQ HO PREP#,INTER FREQ HO PREP#,INTRA FREQ HO PREP SR,INTER FREQ HO PREP SR,RRC REJECT#,DLPDCP Average User Throughput,ULPDCP Average User Throughput,PRB Utilization_DL,PRB Utilization_UL,UL_RSSI_WEIGHT_DBM_PUCCH,UL_RSSI_WEIGHT_DBM_PUSCH,BLER_UL,Maximum Connected User Number,Maximum DL Traffic Volume (kbit/s),Avg User,S1 based HO Success Rate,BLER_DL,Maximum UL Traffic Volume (kbit/s),RRC Setup Attempt,MIMO Transmission Rank 2 Rate,X2 based HO Success Rate,RRC Setup Success Rate Bin
2020-09-18,ASELYL,ASELY93L,,,,1.451171875,0.56591796875,100.0,0.0,0.0,0.0,100.0,100.0,6782.57,7829.66,99.40119760479043,,0.0,26.92,14.993,0.0,0.0,1.202,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,,,0,36609.1,5613.33,0.679805,5.283519444444444,-120.33008,-120.447005,0.006,5,1305,2.9191666666666665,,0.002,210,166,,,1
2020-09-18,ASELYL,ASELY32L,,,,19.6746826171875,0.641845703125,100.0,0.0,0.0,0.0,100.0,100.0,49825.46,11704.03,100.0,,0.0,27.111,14.999,0.0,0.0,1.496,0.0,100.0,0.0,0.0,100.0,,,0.0,0,1,0.0,1,0.024,100.0,,,0,0,0,0,,,0,82449.49,,0.3779936111111111,4.617306111111111,-119.958209,-118.474124,0.001,1,12029,0.37305555555555553,,0.004,195,71,,,1
2020-09-18,SOBTKL,SOBTKF2L,,,,5.2318115234375,0.1646728515625,100.0,0.0,0.0,0.0,100.0,100.0,23326.21,24968.58,100.0,,0.0,10.777,8.105,0.0,0.0,1.302,0.0,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,,,0,15250.51,3585.42,0.45173,4.611611388888889,-113.542311,-113.128372,0.07,1,25464,0.29194444444444445,,0.212,372,80,,,1
2020-09-18,ASELYL,ASELY03L,,,,0.0172119140625,0.00390625,100.0,0.0,0.0,0.0,100.0,100.0,3527.44,5142.65,100.0,,0.0,26.176,14.976,0.0,0.0,1.622,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,3248.0,,0.6649855555555556,5.220915,-114.831359,-119.451886,0.002,1,5,0.9344444444444444,,0.024,5,57,,,1
2020-09-18,SILOSL,SILOS12L,100.0,100.0,100.0,194.098876953125,11.8265380859375,100.0,0.0,0.0,0.0,100.0,100.0,74777.71,23396.18,100.0,100.0,0.0,17.798,11.81,0.0,0.0,1.75,7.6923,,,,,,,,0,0,0.0,0,0.0,100.0,,,0,0,0,0,100.0,100.0,0,47057.45,3124.33,4.783790901384572,4.886837807290195,-119.590756,-119.461657,0.053,4,60316,2.0766666666666667,,0.48,1804,80,85.748,,1
2020-09-18,ASELYL,ASELY33L,,,,0.1239013671875,0.0408935546875,100.0,0.0,0.0,0.0,100.0,100.0,25043.61,5339.23,100.0,,0.0,27.575,15.0,0.0,0.0,1.521,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,36720.0,,0.7054766666666668,5.222741666666667,-117.924561,-120.417433,0.0,1,400,0.9986111111111111,,0.001,32,7,,,1
2020-09-18,ASELYL,ASELY72L,100.0,0.0,100.0,334.02490234375,1773.644775390625,100.0,0.352,0.0,0.352,100.0,100.0,25830.43,88266.19,97.97752808988764,100.0,0.352,27.59,14.683,0.0,0.0,1.241,0.7737,100.0,0.048,0.294,100.0,,100.0,0.0,0,2,0.0,2,0.015,100.0,,,0,0,0,0,100.0,100.0,0,50256.86,21540.54,1.9672922222222222,19.749891388888887,-116.205547,-112.369247,0.077,19,38577,12.688611111111111,0.0,0.011,10088,433,,,1
2020-09-18,INBASVL,INBASVL64,,,,14.451904296875,2.474853515625,100.0,0.0,0.0,0.0,100.0,100.0,6927.85,4950.61,100.0,,0.0,27.994,14.999,0.0,0.0,2.0,0.0,,,,,,,,0,0,0.0,0,0.0,,,,0,0,0,0,,,0,72518.92,17444.83,0.3451047222222222,4.668140277777778,-115.241478,-115.501287,0.001,1,12498,0.25472222222222224,,0.002,1564,2,,,1
2020-09-18,SILTEL,SILTE32L,100.0,100.0,,0.2626953125,0.0587158203125,100.0,2.128,0.0,2.128,100.0,100.0,53044.17,56122.01,89.87341772151899,,2.128,25.586,12.286,0.0,0.0,1.667,4.0816,,,,,,,,0,0,0.0,0,0.0,100.0,0.0,,0,1,0,0,,100.0,0,22516.06,557.87,0.6530302345295281,4.604520203447302,-119.30024,-119.489793,0.4,2,1407,0.14166666666666666,,0.112,73,67,68.056,,1
2020-09-18,SILOSL,SILOS22L,,100.0,100.0,249.8486328125,975.906494140625,100.0,0.0,0.0,0.0,100.0,100.0,25318.13,60403.15,17.315436241610737,100.0,0.0,19.326,11.621,0.0,0.0,2.04,1.7544,,,,,,,,0,0,0.0,0,0.0,100.0,100.0,,0,1,0,0,100.0,100.0,0,21899.36,13340.37,4.804283413393614,23.209339643967223,-120.882784,-120.256484,0.074,5,43090,2.8469444444444445,,0.146,5650,120,51.766,,0
